Round Number, Total Energy Consumption
454,12.069879
455,12.082175
456,12.094470
457,12.106765
458,12.119061
459,12.131356
460,12.143652
461,12.155947
462,12.168242
463,12.180538
464,12.192833
465,12.205129
466,12.217424
467,12.229719
468,12.242015
469,12.254310
470,12.266606
471,12.278901
472,12.291197
473,12.303492
474,12.315787
475,12.328083
476,12.340378
477,12.352674
478,12.364969
479,12.377264
480,12.389560
481,12.401855
482,12.414151
483,12.426446
484,12.438741
485,12.451037
486,12.463332
487,12.475628
488,12.487923
489,12.500218
490,12.512514
491,12.524809
492,12.537105
493,12.549400
494,12.561695
495,12.573991
496,12.585273
497,12.596555
498,12.607836
499,12.619118
500,12.630400
501,12.641682
502,12.652964
503,12.664246
504,12.675528
505,12.686809
506,12.698091
507,12.709373
508,12.720655
509,12.731937
510,12.743219
511,12.754500
512,12.765782
513,12.777064
514,12.788346
515,12.799628
516,12.810910
517,12.822192
518,12.833473
519,12.844755
520,12.856037
521,12.867319
522,12.878601
523,12.889883
524,12.901164
525,12.912446
526,12.923728
527,12.935010
528,12.946292
529,12.957574
530,12.968856
531,12.980137
532,12.991419
533,13.002701
534,13.013983
535,13.025265
536,13.036547
537,13.047828
538,13.059110
539,13.070392
540,13.081674
541,13.092956
542,13.104238
543,13.115520
544,13.126801
545,13.138083
546,13.149365
547,13.160647
548,13.171929
549,13.183211
550,13.194492
551,13.205774
552,13.217056
553,13.228338
554,13.239620
555,13.250902
556,13.262184
557,13.273465
558,13.284747
559,13.296029
560,13.307311
561,13.318593
562,13.329875
563,13.341156
564,13.352438
565,13.363720
566,13.375002
567,13.386284
568,13.397566
569,13.408848
570,13.420129
571,13.431411
572,13.442693
573,13.453975
574,13.465257
575,13.476539
576,13.487820
577,13.499102
578,13.510384
579,13.521666
580,13.532948
581,13.544230
582,13.555512
583,13.566793
584,13.578075
585,13.589357
586,13.600639
587,13.611921
588,13.623203
589,13.634484
590,13.645766
591,13.657048
592,13.668330
593,13.679612
594,13.690894
595,13.702176
596,13.713457
597,13.724739
598,13.736021
599,13.747303
600,13.758585
601,13.769867
602,13.781148
603,13.792430
604,13.803712
605,13.814994
606,13.826276
607,13.837558
608,13.848840
609,13.860121
610,13.871403
611,13.882685
612,13.893967
613,13.905249
614,13.916531
615,13.927812
616,13.939094
617,13.950376
618,13.961658
619,13.972940
620,13.984222
621,13.995504
622,14.006785
623,14.018067
624,14.029349
625,14.040631
626,14.051913
627,14.063195
628,14.074476
629,14.085758
630,14.097040
631,14.108322
632,14.119604
633,14.130886
634,14.142168
635,14.153449
636,14.164731
637,14.176013
638,14.187295
639,14.198577
640,14.209859
641,14.221141
642,14.232422
643,14.243704
644,14.254986
645,14.266268
646,14.277550
647,14.288832
648,14.300113
649,14.311395
650,14.322677
651,14.333959
652,14.345241
653,14.356523
654,14.367805
655,14.379086
656,14.390368
657,14.401650
658,14.412932
659,14.424214
660,14.435496
661,14.446777
662,14.458059
663,14.469341
664,14.480623
665,14.491905
666,14.503187
667,14.514469
668,14.525750
669,14.537032
670,14.548314
671,14.559596
672,14.570878
673,14.582160
674,14.593441
675,14.604723
676,14.616005
677,14.627287
678,14.638569
679,14.649851
680,14.661133
681,14.672414
682,14.683696
683,14.694978
684,14.706260
685,14.717542
686,14.728824
687,14.740105
688,14.751387
689,14.762669
690,14.773951
691,14.785233
692,14.796515
693,14.807797
694,14.819078
695,14.830360
696,14.841642
697,14.852924
698,14.864206
699,14.875488
700,14.886769
701,14.898051
702,14.909333
703,14.920615
704,14.931897
705,14.943179
706,14.954461
707,14.965742
708,14.977024
709,14.988306
710,14.999588
711,15.010870
712,15.022152
713,15.033433
714,15.044715
715,15.055997
716,15.067279
717,15.078561
718,15.089843
719,15.101125
720,15.112406
721,15.123688
722,15.134970
723,15.146252
724,15.157534
725,15.168816
726,15.180097
727,15.191379
728,15.202661
729,15.213943
730,15.225225
731,15.236507
732,15.247789
733,15.259070
734,15.270352
735,15.281634
736,15.292916
737,15.304198
738,15.315480
739,15.326761
740,15.338043
741,15.349325
742,15.360607
743,15.371889
744,15.383171
745,15.394453
746,15.405734
747,15.417016
748,15.428298
749,15.439580
750,15.450862
751,15.462144
752,15.473425
753,15.484707
754,15.495989
755,15.507271
756,15.518553
757,15.529835
758,15.541117
759,15.552398
760,15.563680
761,15.574962
762,15.585587
763,15.596212
764,15.606837
765,15.617461
766,15.628086
767,15.638711
768,15.649336
769,15.659961
770,15.670585
771,15.681210
772,15.691835
773,15.702460
774,15.713085
775,15.723709
776,15.734334
777,15.744959
778,15.755584
779,15.766209
780,15.776834
781,15.787458
782,15.798083
783,15.808708
784,15.819333
785,15.829958
786,15.840582
787,15.851207
788,15.861832
789,15.872457
790,15.883082
791,15.893706
792,15.904331
793,15.914956
794,15.925581
795,15.936206
796,15.946831
797,15.957455
798,15.968080
799,15.978705
800,15.989330
801,15.999955
802,16.010579
803,16.021204
804,16.031829
805,16.042454
806,16.053079
807,16.063704
808,16.074328
809,16.084953
810,16.095578
811,16.106203
812,16.116828
813,16.127452
814,16.138077
815,16.148702
816,16.159327
817,16.169952
818,16.180576
819,16.191201
820,16.201826
821,16.212451
822,16.223076
823,16.233701
824,16.244325
825,16.254950
826,16.265575
827,16.276200
828,16.286825
829,16.297449
830,16.308074
831,16.318699
832,16.329324
833,16.339949
834,16.350573
835,16.361198
836,16.371823
837,16.382448
838,16.393073
839,16.403698
840,16.414322
841,16.424947
842,16.435572
843,16.446197
844,16.456822
845,16.467446
846,16.478071
847,16.488696
848,16.499321
849,16.509946
850,16.520570
851,16.531195
852,16.541820
853,16.552445
854,16.563070
855,16.573695
856,16.584319
857,16.594944
858,16.605569
859,16.616194
860,16.626819
861,16.637443
862,16.648068
863,16.658693
864,16.669318
865,16.679943
866,16.690567
867,16.701192
868,16.711817
869,16.721863
870,16.731910
871,16.741956
872,16.752002
873,16.762048
874,16.772095
875,16.782141
876,16.792187
877,16.802233
878,16.812280
879,16.822326
880,16.832372
881,16.842418
882,16.852465
883,16.862511
884,16.872557
885,16.882603
886,16.892650
887,16.902696
888,16.912742
889,16.922788
890,16.932835
891,16.942317
892,16.951799
893,16.961282
894,16.970764
895,16.980247
896,16.989729
897,16.999212
898,17.008694
899,17.018176
900,17.027659
901,17.037141
902,17.046624
903,17.056106
904,17.065588
905,17.075071
906,17.084553
907,17.094036
908,17.103518
909,17.113001
910,17.122483
911,17.131965
912,17.141448
913,17.150930
914,17.160413
915,17.169895
916,17.179378
917,17.188860
918,17.198342
919,17.207825
920,17.217307
921,17.226790
922,17.236272
923,17.245754
924,17.255237
925,17.264719
926,17.274202
927,17.283684
928,17.293167
929,17.302649
930,17.312131
931,17.321614
932,17.331096
933,17.340579
934,17.350061
935,17.359544
936,17.369026
937,17.378508
938,17.387991
939,17.397473
940,17.406956
941,17.416438
942,17.425920
943,17.435403
944,17.444885
945,17.454368
946,17.463850
947,17.473333
948,17.482815
949,17.492297
950,17.501780
951,17.511262
952,17.520745
953,17.530227
954,17.539709
955,17.549192
956,17.558674
957,17.568157
958,17.577639
959,17.587122
960,17.596604
961,17.606086
962,17.615569
963,17.625051
964,17.634534
965,17.644016
966,17.653499
967,17.662981
968,17.672463
969,17.681946
970,17.691428
971,17.700911
972,17.710393
973,17.719875
974,17.729358
975,17.738840
976,17.748323
977,17.757805
978,17.767288
979,17.776770
980,17.786252
981,17.795735
982,17.805217
983,17.814700
984,17.824182
985,17.833664
986,17.843147
987,17.852629
988,17.862112
989,17.871594
990,17.881077
991,17.890559
992,17.900041
993,17.909524
994,17.919006
995,17.928489
996,17.937971
997,17.947454
998,17.956936
999,17.966418
1000,17.975901
1001,17.985383
1002,17.994866
1003,18.004348
1004,18.013830
1005,18.023313
1006,18.032795
1007,18.042278
1008,18.051760
1009,18.061243
1010,18.070725
1011,18.080207
1012,18.089690
1013,18.099172
1014,18.108655
1015,18.118137
1016,18.127620
1017,18.137102
1018,18.146584
1019,18.156067
1020,18.165549
1021,18.175032
1022,18.184514
1023,18.193996
1024,18.203479
1025,18.212961
1026,18.222444
1027,18.231926
1028,18.241409
1029,18.250891
1030,18.260373
1031,18.269856
1032,18.279338
1033,18.288821
1034,18.298303
1035,18.307785
1036,18.317268
1037,18.326750
1038,18.336233
1039,18.345715
1040,18.355198
1041,18.364680
1042,18.374162
1043,18.383645
1044,18.392645
1045,18.401646
1046,18.410647
1047,18.419647
1048,18.428648
1049,18.437649
1050,18.446649
1051,18.455650
1052,18.464650
1053,18.473651
1054,18.482652
1055,18.491652
1056,18.500653
1057,18.509654
1058,18.518654
1059,18.527655
1060,18.536655
1061,18.545656
1062,18.554657
1063,18.563657
1064,18.572658
1065,18.581659
1066,18.590659
1067,18.599660
1068,18.608660
1069,18.617661
1070,18.626662
1071,18.635193
1072,18.643256
1073,18.651318
1074,18.659381
1075,18.667443
1076,18.675506
1077,18.683568
1078,18.691631
1079,18.699694
1080,18.707756
1081,18.715819
1082,18.723881
1083,18.731944
1084,18.740006
1085,18.748069
1086,18.756131
1087,18.764194
1088,18.772256
1089,18.780319
1090,18.788381
1091,18.796444
1092,18.804506
1093,18.812569
1094,18.820631
1095,18.828694
1096,18.836756
1097,18.844819
1098,18.852881
1099,18.860944
1100,18.869006
1101,18.877069
1102,18.885131
1103,18.893194
1104,18.901257
1105,18.909319
1106,18.917382
1107,18.925444
1108,18.933507
1109,18.941569
1110,18.949632
1111,18.957694
1112,18.965757
1113,18.973819
1114,18.981882
1115,18.989495
1116,18.997107
1117,19.004720
1118,19.012333
1119,19.019946
1120,19.027559
1121,19.035172
1122,19.042785
1123,19.050398
1124,19.058011
1125,19.065623
1126,19.073236
1127,19.080405
1128,19.087573
1129,19.094741
1130,19.101909
1131,19.109077
1132,19.116246
1133,19.123414
1134,19.130582
1135,19.137750
1136,19.144918
1137,19.152087
1138,19.159255
1139,19.166423
1140,19.173591
1141,19.180759
1142,19.187928
1143,19.195096
1144,19.202264
1145,19.209432
1146,19.216600
1147,19.223769
1148,19.230937
1149,19.238105
1150,19.245273
1151,19.252441
1152,19.259610
1153,19.266778
1154,19.273946
1155,19.281114
1156,19.288282
1157,19.295451
1158,19.302619
1159,19.309787
1160,19.316955
1161,19.324124
1162,19.331292
1163,19.338460
1164,19.345628
1165,19.352796
1166,19.359965
1167,19.367133
1168,19.374301
1169,19.381469
1170,19.388637
1171,19.395806
1172,19.402974
1173,19.410142
1174,19.417310
1175,19.424478
1176,19.431647
1177,19.438815
1178,19.445983
1179,19.453151
1180,19.460319
1181,19.467488
1182,19.474656
1183,19.481824
1184,19.488992
1185,19.496160
1186,19.503329
1187,19.510497
1188,19.517665
1189,19.524833
1190,19.532001
1191,19.539170
1192,19.546338
1193,19.553506
1194,19.560674
1195,19.567843
1196,19.575011
1197,19.582179
1198,19.589347
1199,19.596515
1200,19.603684
1201,19.610852
1202,19.618020
1203,19.625188
1204,19.632356
1205,19.639525
1206,19.646693
1207,19.653861
1208,19.661029
1209,19.668197
1210,19.675366
1211,19.682534
1212,19.689702
1213,19.696870
1214,19.703625
1215,19.710380
1216,19.717135
1217,19.723890
1218,19.730645
1219,19.737401
1220,19.744156
1221,19.750911
1222,19.757666
1223,19.764421
1224,19.771176
1225,19.777931
1226,19.784686
1227,19.791441
1228,19.798196
1229,19.804951
1230,19.811706
1231,19.818461
1232,19.825216
1233,19.831971
1234,19.838726
1235,19.845481
1236,19.852236
1237,19.858991
1238,19.865746
1239,19.872501
1240,19.879256
1241,19.886012
1242,19.892767
1243,19.899522
1244,19.906277
1245,19.913032
1246,19.919787
1247,19.926542
1248,19.933297
1249,19.940052
1250,19.946807
1251,19.953562
1252,19.960317
1253,19.967072
1254,19.973827
1255,19.980582
1256,19.987337
1257,19.994092
1258,20.000847
1259,20.007602
1260,20.014357
1261,20.021112
1262,20.027867
1263,20.034623
1264,20.041378
1265,20.048133
1266,20.054888
1267,20.061643
1268,20.068398
1269,20.075153
1270,20.081908
1271,20.088663
1272,20.095418
1273,20.102173
1274,20.108928
1275,20.115683
1276,20.122438
1277,20.129193
1278,20.135948
1279,20.142703
1280,20.149458
1281,20.156213
1282,20.162968
1283,20.169723
1284,20.176479
1285,20.183234
1286,20.189989
1287,20.196744
1288,20.203499
1289,20.210254
1290,20.217009
1291,20.223764
1292,20.230519
1293,20.237274
1294,20.244029
1295,20.250784
1296,20.257539
1297,20.264294
1298,20.271049
1299,20.277804
1300,20.284559
1301,20.291314
1302,20.298069
1303,20.304824
1304,20.311579
1305,20.318334
1306,20.325090
1307,20.331845
1308,20.338600
1309,20.345355
1310,20.352110
1311,20.358865
1312,20.365620
1313,20.372375
1314,20.379130
1315,20.385885
1316,20.392640
1317,20.399395
1318,20.406150
1319,20.412905
1320,20.419660
1321,20.426415
1322,20.433170
1323,20.439925
1324,20.446680
1325,20.453435
1326,20.460190
1327,20.466945
1328,20.473701
1329,20.480456
1330,20.487211
1331,20.493966
1332,20.500721
1333,20.507476
1334,20.514231
1335,20.520986
1336,20.527741
1337,20.534496
1338,20.541251
1339,20.548006
1340,20.554761
1341,20.561516
1342,20.568271
1343,20.575026
1344,20.581781
1345,20.588536
1346,20.595291
1347,20.602046
1348,20.608801
1349,20.615557
1350,20.622312
1351,20.629067
1352,20.635822
1353,20.642577
1354,20.649332
1355,20.656087
1356,20.662842
1357,20.669597
1358,20.676352
1359,20.683107
1360,20.689862
1361,20.696617
1362,20.703372
1363,20.710127
1364,20.716882
1365,20.723637
1366,20.730392
1367,20.737147
1368,20.743902
1369,20.750657
1370,20.757412
1371,20.764168
1372,20.770923
1373,20.777678
1374,20.784433
1375,20.791188
1376,20.797943
1377,20.804698
1378,20.811453
1379,20.818208
1380,20.824963
